"player_name","season","transfer_date","country_from","team_from","country_to","team_to","market_value","transfer_value","transfer_type","contract_expiry","days_remaining"
"Thiago Silva","25/26",2026-01-01,"Brazil","Fluminense","Portugal","Porto",6e+05,0,"Free transfer",NA,NA
"Thiago Silva","24/25",2024-07-10,"England","Chelsea","Brazil","Fluminense",1e+06,0,"Free transfer",NA,NA
"Thiago Silva","20/21",2020-08-28,"France","PSG","England","Chelsea",4800000,0,"Free transfer",NA,NA
"Thiago Silva","12/13",2012-07-14,"Italy","AC Milan","France","PSG",3.8e+07,4.2e+07,"Transfer",NA,NA
"Thiago Silva","08/09",2009-01-01,"Brazil","Fluminense","Italy","AC Milan",7500000,1e+07,"Transfer",NA,NA
"Thiago Silva","06/07",2007-01-01,"Russia","Dinamo Moscow","Brazil","Fluminense",3500000,2e+06,"Transfer",NA,NA
"Thiago Silva","06/07",2006-12-31,"Brazil","Fluminense","Russia","Dinamo Moscow",3500000,NA,"Loan",NA,NA
"Thiago Silva","05/06",2006-01-01,"Russia","Dinamo Moscow","Brazil","Fluminense",3500000,NA,"Loan",NA,NA
"Thiago Silva","04/05",2005-01-01,"Portugal","Porto","Russia","Dinamo Moscow",NA,3500000,"Transfer",NA,NA
"Thiago Silva","04/05",2004-09-13,"Brazil","Juventude","Portugal","Porto",NA,2500000,"Transfer",NA,NA
"Thiago Silva","03/04",2004-01-01,NA,"RS Futebol","Brazil","Juventude",NA,NA,NA,NA,NA
"Thiago Silva","02/03",2002-11-01,NA,"Fluminense U20",NA,"RS Futebol",NA,0,"Free transfer",NA,NA
"Neto","25/26",2025-08-08,"England","Bournemouth","Brazil","Botafogo",1500000,0,"Free transfer",NA,NA
"Neto","24/25",2025-06-30,"England","Arsenal","England","Bournemouth",1500000,NA,"Loan",NA,NA
"Neto","24/25",2024-08-30,"England","Bournemouth","England","Arsenal",2500000,NA,"Loan",NA,NA
"Neto","22/23",2022-08-07,"Spain","Barcelona","England","Bournemouth",3e+06,0,"Free transfer",NA,NA
"Neto","19/20",2019-07-01,"Spain","Valencia","Spain","Barcelona",1.8e+07,2.6e+07,"Transfer",NA,NA
"Neto","17/18",2017-07-07,"Italy","Juventus","Spain","Valencia",6e+06,7e+06,"Transfer",NA,NA
"Neto","15/16",2015-07-03,"Italy","Fiorentina","Italy","Juventus",9e+06,0,"Free transfer",NA,NA
"Neto","10/11",2011-01-08,"Brazil","Atlético-PR","Italy","Fiorentina",1800000,3500000,"Transfer",NA,NA
"Neto","09/10",2009-01-01,NA,"Atlético-PR U20","Brazil","Atlético-PR",NA,NA,NA,NA,NA
"Adrián San Miguel","24/25",2024-07-08,"England","Liverpool","Spain","Real Betis",6e+05,0,"Free transfer",NA,NA
"Adrián San Miguel","19/20",2019-08-05,"England","West Ham","England","Liverpool",3500000,0,"Free transfer",NA,NA
"Adrián San Miguel","13/14",2013-07-01,"Spain","Real Betis","England","West Ham",2e+06,0,"Free transfer",NA,NA
"Adrián San Miguel","12/13",2012-07-01,"Spain","Betis B","Spain","Real Betis",NA,NA,NA,NA,NA
"Adrián San Miguel","08/09",2009-06-30,NA,"Utrera","Spain","Betis B",NA,NA,"Loan",NA,NA
"Adrián San Miguel","08/09",2009-01-01,"Spain","Betis B",NA,"Utrera",NA,NA,"Loan",NA,NA
"Adrián San Miguel","07/08",2008-06-30,"Spain","CD Alcalá","Spain","Betis B",NA,NA,"Loan",NA,NA
"Adrián San Miguel","07/08",2008-01-01,"Spain","Betis B","Spain","CD Alcalá",NA,NA,"Loan",NA,NA
"Adrián San Miguel","07/08",2007-07-01,NA,"Betis C","Spain","Betis B",NA,NA,NA,NA,NA
"Adrián San Miguel","06/07",2006-07-01,NA,"Betis U19",NA,"Betis C",NA,NA,NA,NA,NA
"Adrián San Miguel","04/05",2004-07-01,NA,"Real Betis Yth.",NA,"Betis U19",NA,NA,NA,NA,NA
"Ivan Perišić","24/25",2024-09-18,NA,"Without Club","Netherlands","PSV",2e+06,NA,NA,NA,NA
"Ivan Perišić","24/25",2024-08-30,"Croatia","Hajduk Split",NA,"Without Club",2e+06,NA,NA,NA,NA
"Ivan Perišić","24/25",2024-07-04,"England","Tottenham","Croatia","Hajduk Split",2e+06,0,"Free transfer",NA,NA
"Ivan Perišić","23/24",2024-06-30,"Croatia","Hajduk Split","England","Tottenham",2e+06,NA,"Loan",NA,NA
"Ivan Perišić","23/24",2024-01-19,"England","Tottenham","Croatia","Hajduk Split",4e+06,NA,"Loan",NA,NA
"Ivan Perišić","22/23",2022-07-01,"Italy","Inter","England","Tottenham",1e+07,0,"Free transfer",NA,NA
"Ivan Perišić","19/20",2020-08-31,"Germany","Bayern Munich","Italy","Inter",17500000,NA,"Loan",NA,NA
"Ivan Perišić","19/20",2019-08-13,"Italy","Inter","Germany","Bayern Munich",3e+07,NA,"Paid loan",NA,NA
"Ivan Perišić","15/16",2015-08-30,"Germany","Wolfsburg","Italy","Inter",1.3e+07,1.9e+07,"Transfer",NA,NA
"Ivan Perišić","12/13",2013-01-06,"Germany","Dortmund","Germany","Wolfsburg",7e+06,8e+06,"Transfer",NA,NA
"Ivan Perišić","11/12",2011-07-01,"Belgium","Club Brugge","Germany","Dortmund",6e+06,4e+06,"Transfer",NA,NA
"Ivan Perišić","09/10",2009-08-26,"France","FC Sochaux","Belgium","Club Brugge",1e+06,2e+05,"Transfer",NA,NA
"Ivan Perišić","08/09",2009-06-30,"Belgium","KSV Roeselare","France","FC Sochaux",6e+05,NA,"Loan",NA,NA
"Ivan Perišić","08/09",2009-01-01,"France","FC Sochaux","Belgium","KSV Roeselare",1e+05,NA,"Loan",NA,NA
"Ivan Perišić","08/09",2008-07-01,"France","FC Sochaux B","France","FC Sochaux",325000,NA,NA,NA,NA
"Ivan Perišić","06/07",2006-07-01,NA,"Hajduk U17",NA,"FC Sochaux B",NA,360000,"Transfer",NA,NA
"Ivan Perišić","04/05",2004-07-01,NA,"Hajduk Yth.",NA,"Hajduk U17",NA,NA,NA,NA,NA
"John Ruddy","24/25",2024-07-01,"England","Birmingham","England","Newcastle",2e+05,0,"Free transfer",NA,NA
"John Ruddy","22/23",2022-07-14,"England","Wolves","England","Birmingham",3e+05,0,"Free transfer",NA,NA
"John Ruddy","17/18",2017-07-10,"England","Norwich","England","Wolves",3e+06,0,"Free transfer",NA,NA
"John Ruddy","10/11",2010-07-01,"England","Everton","England","Norwich",750000,6e+05,"Transfer",NA,NA
"John Ruddy","09/10",2010-05-01,"Scotland","Motherwell FC","England","Everton",750000,NA,"Loan",NA,NA
"John Ruddy","09/10",2009-07-01,"England","Everton","Scotland","Motherwell FC",450000,NA,"Loan",NA,NA
