type,group,games_started,caught_stealing,stolen_bases,stolen_base_percentage,assists,put_outs,errors,chances,fielding,passed_ball,pickoffs,summary,games_played,fly_outs,ground_outs,air_outs,runs,doubles,triples,home_runs,strike_outs,base_on_balls,intentional_walks,hits,hit_by_pitch,at_bats,ground_into_double_play,ground_into_triple_play,plate_appearances,total_bases,rbi,left_on_base,sac_bunts,sac_flies,catchers_interference,at_bats_per_home_run,game_type,num_teams,avg,obp,slg,ops,number_of_pitches,babip,ground_outs_to_airouts,team_id,team_name,team_link,opponent_id,opponent_name,opponent_link,pitcher_id,pitcher_full_name,pitcher_link,pitcher_first_name,pitcher_last_name,batter_id,batter_full_name,batter_link,batter_first_name,batter_last_name,play_index,play_play_id,play_pitch_number,play_start_time,play_end_time,play_is_pitch,play_type,play_details_description,play_details_code,play_details_ball_color,play_details_trail_color,play_details_is_in_play,play_details_is_strike,play_details_is_ball,play_details_away_score,play_details_home_score,play_details_is_out,play_details_has_review,play_details_call_code,play_details_call_description,play_details_type_code,play_details_type_description,play_count_balls,play_count_strikes,play_count_outs,play_count_inning,play_pitch_data_start_speed,play_pitch_data_end_speed,play_pitch_data_strike_zone_top,play_pitch_data_strike_zone_bottom,play_pitch_data_zone,play_pitch_data_type_confidence,play_pitch_data_plate_time,play_pitch_data_extension,play_pitch_data_coordinates_a_y,play_pitch_data_coordinates_a_z,play_pitch_data_coordinates_pfx_x,play_pitch_data_coordinates_pfx_z,play_pitch_data_coordinates_p_x,play_pitch_data_coordinates_p_z,play_pitch_data_coordinates_v_x0,play_pitch_data_coordinates_v_y0,play_pitch_data_coordinates_v_z0,play_pitch_data_coordinates_x,play_pitch_data_coordinates_y,play_pitch_data_coordinates_x0,play_pitch_data_coordinates_y0,play_pitch_data_coordinates_z0,play_pitch_data_coordinates_a_x,play_pitch_data_breaks_break_angle,play_pitch_data_breaks_break_length,play_pitch_data_breaks_break_y,play_pitch_data_breaks_break_vertical,play_pitch_data_breaks_break_vertical_induced,play_pitch_data_breaks_break_horizontal,play_pitch_data_breaks_spin_rate,play_pitch_data_breaks_spin_direction,play_hit_data_launch_speed,play_hit_data_launch_angle,play_hit_data_total_distance,play_hit_data_trajectory,play_hit_data_hardness,play_hit_data_location,play_hit_data_coordinates_coord_x,play_hit_data_coordinates_coord_y,total_splits,type_display_name,group_display_name,player_id,game_pk,batting_order
gameLog,hitting,NA,0,0,.---,NA,NA,NA,NA,NA,NA,0,0-4 | 2 K,1,1,1,1,0,0,0,0,2,0,0,0,0,4,0,0,4,0,0,1,0,0,0,-.--,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543685,747060,1
gameLog,hitting,NA,0,0,.---,NA,NA,NA,NA,NA,NA,0,"0-3 | BB, 2 K",1,0,1,0,0,0,0,0,2,1,0,0,0,3,0,0,4,0,0,0,0,0,0,-.--,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543305,747060,2
gameLog,hitting,NA,0,0,.---,NA,NA,NA,NA,NA,NA,0,"1-3 | HR, K, RBI",1,0,0,1,1,0,0,1,1,0,0,1,0,3,0,0,3,4,1,1,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545361,747060,3
gameLog,hitting,NA,0,0,.---,NA,NA,NA,NA,NA,NA,0,0-4 | 2 K,1,0,1,1,0,0,0,0,2,0,0,0,0,4,1,0,4,0,0,1,0,0,0,-.--,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,621493,747060,4
gameLog,hitting,NA,0,0,.---,NA,NA,NA,NA,NA,NA,0,0-2 | K,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,-.--,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592273,747060,5
gameLog,hitting,NA,0,0,.---,NA,NA,NA,NA,NA,NA,0,"0-2 | BB, K, R",1,1,0,1,1,0,0,0,1,1,0,0,0,2,0,0,3,0,0,0,0,0,0,-.--,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,694384,747060,6
gameLog,hitting,NA,0,0,.---,NA,NA,NA,NA,NA,NA,0,0-2 | 2 K,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,-.--,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,593934,747060,7
gameLog,hitting,NA,0,0,.---,NA,NA,NA,NA,NA,NA,0,0-2 | BB,1,1,0,2,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,-.--,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,681351,747060,8
gameLog,hitting,NA,0,0,.---,NA,NA,NA,NA,NA,NA,0,"0-3 | 2 K, RBI",1,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,3,0,1,1,0,0,0,-.--,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,687263,747060,9
gameLog,hitting,NA,0,0,.---,NA,NA,NA,NA,NA,NA,0,"1-4 | BB, K, R",1,0,1,1,1,0,0,0,1,1,0,1,0,4,0,0,5,1,0,4,0,0,0,-.--,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,683002,747060,1
