"game_pk","gameGuid","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","description","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","rescheduleDate","rescheduleGameDate","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduledFrom","rescheduledFromDate"
747060,"c138642c-8c26-46dc-a7b8-1e5f8d1739e2","/api/v1.1/game/747060/feed/live","R","2024","2024-03-28T19:05:00Z","2024-03-28",FALSE,1,TRUE,"N","P","N","14-747060-2024-03-28","2024","day","Orioles home opener",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,3,FALSE,FALSE,1,0,1,".000",108,"Los Angeles Angels","/api/v1/teams/108",11,TRUE,FALSE,1,1,0,"1.000",110,"Baltimore Orioles","/api/v1/teams/110",2,"Oriole Park at Camden Yards","/api/v1/venues/2","/api/v1/game/747060/content",NA,NA
746737,"bec767a4-c174-4e4e-ba7e-a16759c76cd4","/api/v1.1/game/746737/feed/live","R","2024","2024-03-28T20:10:00Z","2024-03-28",FALSE,1,TRUE,"N","P","N","14-746737-2024-03-28","2024","day","Reds Home Opener",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,2,FALSE,FALSE,2,0,1,".000",120,"Washington Nationals","/api/v1/teams/120",8,TRUE,FALSE,1,1,0,"1.000",113,"Cincinnati Reds","/api/v1/teams/113",2602,"Great American Ball Park","/api/v1/venues/2602","/api/v1/game/746737/content",NA,NA
745445,"36e1df7c-1e8c-406b-a4ac-0267d072fc96","/api/v1.1/game/745445/feed/live","R","2024","2024-03-28T20:10:00Z","2024-03-28",FALSE,1,TRUE,"N","P","N","14-745445-2024-03-28","2024","day","Padres home opener",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,4,FALSE,FALSE,1,0,1,".000",137,"San Francisco Giants","/api/v1/teams/137",6,TRUE,FALSE,2,2,1,".667",135,"San Diego Padres","/api/v1/teams/135",2680,"Petco Park","/api/v1/venues/2680","/api/v1/game/745445/content",NA,NA
746165,"b4013dcc-dca0-48eb-ad56-30438f1d0ab7","/api/v1.1/game/746165/feed/live","R","2024","2024-03-28T20:10:00Z","2024-03-28",FALSE,1,TRUE,"N","P","N","14-746165-2024-03-28","2024","day","Dodgers home opener",9,FALSE,145,4,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,1,0,1,".000",138,"St. Louis Cardinals","/api/v1/teams/138",7,TRUE,FALSE,2,2,1,".667",119,"Los Angeles Dodgers","/api/v1/teams/119",22,"Dodger Stadium","/api/v1/venues/22","/api/v1/game/746165/content",NA,NA
745116,"5528bad2-0f3e-40ec-b402-b6220641b359","/api/v1.1/game/745116/feed/live","R","2024","2024-03-28T20:10:00Z","2024-03-28",FALSE,1,TRUE,"N","P","N","14-745116-2024-03-28","2024","day","Rays home opener",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,8,TRUE,FALSE,1,1,0,"1.000",141,"Toronto Blue Jays","/api/v1/teams/141",2,FALSE,FALSE,1,0,1,".000",139,"Tampa Bay Rays","/api/v1/teams/139",12,"Tropicana Field","/api/v1/venues/12","/api/v1/game/745116/content",NA,NA
746335,"c27d2eaa-b6a2-4f74-871d-0731b63a994d","/api/v1.1/game/746335/feed/live","R","2024","2024-03-28T20:10:00Z","2024-03-28",FALSE,1,TRUE,"N","P","N","14-746335-2024-03-28","2024","day","Royals home opener",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,4,TRUE,FALSE,1,1,0,"1.000",142,"Minnesota Twins","/api/v1/teams/142",1,FALSE,FALSE,1,0,1,".000",118,"Kansas City Royals","/api/v1/teams/118",7,"Kauffman Stadium","/api/v1/venues/7","/api/v1/game/746335/content",NA,NA
746821,"7a23b1e5-fcd2-4019-837f-faf69d71534c","/api/v1.1/game/746821/feed/live","R","2024","2024-03-28T20:10:00Z","2024-03-28",FALSE,1,TRUE,"N","P","N","14-746821-2024-03-28","2024","day","White Sox home opener",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,1,TRUE,FALSE,1,1,0,"1.000",116,"Detroit Tigers","/api/v1/teams/116",0,FALSE,FALSE,1,0,1,".000",145,"Chicago White Sox","/api/v1/teams/145",4,"Guaranteed Rate Field","/api/v1/venues/4","/api/v1/game/746821/content",NA,NA
746089,"8d80c95a-79c6-4d16-b9dc-84e562cb0529","/api/v1.1/game/746089/feed/live","R","2024","2024-03-28T20:10:00Z","2024-03-28",FALSE,1,TRUE,"N","P","N","14-746089-2024-03-28","2024","day","Marlins home opener",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,6,TRUE,FALSE,4,1,0,"1.000",134,"Pittsburgh Pirates","/api/v1/teams/134",5,FALSE,FALSE,1,0,1,".000",146,"Miami Marlins","/api/v1/teams/146",4169,"loanDepot park","/api/v1/venues/4169","/api/v1/game/746089/content",NA,NA
746418,"1c012ea7-4e4c-4c2a-913b-f8a61d1356c4","/api/v1.1/game/746418/feed/live","R","2024","2024-03-28T20:10:00Z","2024-03-28",FALSE,1,TRUE,"N","P","N","14-746418-2024-03-28","2024","day","Astros home opener",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,5,TRUE,FALSE,1,1,0,"1.000",147,"New York Yankees","/api/v1/teams/147",4,FALSE,FALSE,1,0,1,".000",117,"Houston Astros","/api/v1/teams/117",2392,"Minute Maid Park","/api/v1/venues/2392","/api/v1/game/746418/content",NA,NA
745039,"e0febe34-dc9d-4be5-871c-4a50a0bddcaf","/api/v1.1/game/745039/feed/live","R","2024","2024-03-28T23:35:00Z","2024-03-28",FALSE,1,TRUE,"N","P","N","14-745039-2024-03-28","2024","night","Rangers home opener",9,FALSE,145,3,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,3,FALSE,FALSE,1,0,1,".000",112,"Chicago Cubs","/api/v1/teams/112",4,TRUE,FALSE,1,1,0,"1.000",140,"Texas Rangers","/api/v1/teams/140",5325,"Globe Life Field","/api/v1/venues/5325","/api/v1/game/745039/content",NA,NA
